champion,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned
Ahri,103,7,245721,1656708970000,224121,0,True,0
Orianna,61,7,108963,1656700971000,87363,0,True,0
Ornn,516,7,78489,1644484598000,56889,0,True,0
Leblanc,7,6,69079,1655263064000,47479,0,False,0
Kayle,10,5,53863,1651272872000,32263,0,False,1
Karthus,30,7,47440,1652258127000,25840,0,False,0
Janna,40,7,46604,1653857059000,25004,0,True,0
Qiyana,246,5,44029,1649122307000,22429,0,False,1
Syndra,134,7,43481,1656532076000,21881,0,True,0
Caitlyn,51,6,41252,1656545946000,19652,0,True,1
Shen,98,5,37200,1648857433000,15600,0,False,1
Annie,1,6,34506,1656535544000,12906,0,True,1
Ezreal,81,5,34166,1649383788000,12566,0,False,1
Neeko,518,6,33928,1652731408000,12328,0,True,1
Lillia,876,5,31463,1655265104000,9863,0,False,1
TwistedFate,4,5,30729,1644286522000,9129,0,False,0
Kindred,203,5,29723,1654643487000,8123,0,False,1
Fiora,114,5,29306,1656618927000,7706,0,False,1
Galio,3,5,28311,1651282401000,6711,0,False,0
Seraphine,147,5,27297,1656452703000,5697,0,False,0
Kaisa,145,5,24651,1650004981000,3051,0,False,0
Sett,875,5,23786,1648864281000,2186,0,False,0
Camille,164,5,23726,1656451023000,2126,0,False,0
Ashe,22,4,21421,1645152740000,8821,179,False,0
Morgana,25,4,19743,1649466935000,7143,1857,False,0
Zac,154,4,19099,1656547639000,6499,2501,False,0
Shyvana,102,4,18941,1643260888000,6341,2659,False,0
Riven,92,4,18447,1626388726000,5847,3153,False,0
Ziggs,115,4,18435,1645158781000,5835,3165,False,0
Teemo,17,4,18347,1656555805000,5747,3253,False,0
Olaf,2,4,18055,1656558839000,5455,3545,True,0
Ivern,427,4,16730,1651701737000,4130,4870,True,0
JarvanIV,59,4,16555,1656706323000,3955,5045,False,0
Cassiopeia,69,4,15246,1651877436000,2646,6354,False,0
Leona,89,4,14994,1652125381000,2394,6606,False,0
Mordekaiser,82,3,11464,1647419010000,5464,1136,False,0
Taliyah,163,3,11431,1653941151000,5431,1169,True,0
Viktor,112,3,10962,1641176836000,4962,1638,False,0
Irelia,39,3,10818,1650525151000,4818,1782,False,0
MissFortune,21,3,10318,1652581895000,4318,2282,False,0
Malphite,54,3,10312,1628808750000,4312,2288,False,0
Veigar,45,3,10140,1650415127000,4140,2460,False,0
Lux,99,3,9967,1651624054000,3967,2633,True,0
Xayah,498,3,9953,1647397655000,3953,2647,True,0
Poppy,78,3,9446,1652580405000,3446,3154,False,0
Malzahar,90,3,8420,1650420605000,2420,4180,True,0
Sejuani,113,3,7983,1649025774000,1983,4617,False,0
Gwen,887,3,7911,1656632804000,1911,4689,False,0
Akali,84,3,7629,1643408766000,1629,4971,False,0
Tristana,18,3,7586,1640991243000,1586,5014,False,0
Vex,711,3,7530,1648951028000,1530,5070,True,0
Kennen,85,3,7152,1648677753000,1152,5448,False,0
Vayne,67,3,6645,1654047760000,645,5955,False,0
Aphelios,523,3,6467,1643265948000,467,6133,False,0
Yone,777,3,6175,1649300163000,175,6425,False,0
Jinx,222,2,5674,1650410581000,3874,326,True,0
Evelynn,28,2,5663,1643868016000,3863,337,False,0
